"id","name","longitude","latitude","lg_name","admin0_name","admin0_grid_id","admin1_grid_id","admin2_grid_id","admin3_grid_id","admin4_grid_id","admin5_grid_id","population","JPScale","LeastReached","PrimaryLanguageName","PrimaryReligion","PercentAdherents","PercentEvangelical","PeopleCluster","AffinityBloc","pg_unique_key"
1,"Afghan, Tajik",62.1461,31.1562,"Zaranj","Afghanistan",100000001,100000024,100000272,NULL,NULL,NULL,10585000,1,"Y","Dari","Islam",0.010,0.010,"Persian","Persian-Median","AF_14372_107989"
2,"Afshari",69.2898,34.448,"Bagrami","Afghanistan",100000001,100000015,100000174,NULL,NULL,NULL,15000,1,"Y","Azerbaijani, South","Islam",0.039,0.039,"Azerbaijani","Turkic Peoples","AF_19409_100096"
3,"Aimaq",63.1286,35.005,"Qala-I-Naw","Afghanistan",100000001,100000003,100000055,NULL,NULL,NULL,1595000,1,"Y","Aimaq","Islam",0.000,0.000,"Persian","Persian-Median","AF_21454_118270"
4,"Americans, U.S.",69.1685,34.5286,"Kabul City","Afghanistan",100000001,100000015,100000179,NULL,NULL,NULL,10000,5,"N","English","Christianity",84.500,30.000,"Anglo-American","North American Peoples","AF_15741_110448"
5,"Ansari",69.3198,34.5478,"Bagrami","Afghanistan",100000001,100000015,100000174,NULL,NULL,NULL,2400,1,"Y","Urdu","Islam",0.000,0.000,"South Asia Muslim - Ansari","South Asian Peoples","AF_16221_111334"
6,"Arab, Tajiki",66.8042,36.9447,"Dawlat abad","Afghanistan",100000001,100000005,100000072,NULL,NULL,NULL,18000,1,"Y","Arabic, Tajiki Spoken","Islam",0.200,0.200,"Arab World, general","Arab World","AF_15202_109734"
7,"Arora (Hindu traditions)",70.9806,36.1872,"Zebak","Afghanistan",100000001,100000002,100000048,NULL,NULL,NULL,1500,1,"Y","Saraiki","Hinduism",0.000,0.000,"South Asia Hindu - other","South Asian Peoples","AF_16239_111360"
8,"Baloch, Western",63.2018,30.2414,"Disho","Afghanistan",100000001,100000012,100000137,NULL,NULL,NULL,467000,1,"Y","Balochi, Western","Islam",0.009,0.009,"Baloch","South Asian Peoples","AF_15356_110770"
9,"Bania (Muslim traditions)",69.4353,34.3758,"Khaki Jabar","Afghanistan",100000001,100000015,100000181,NULL,NULL,NULL,6400,1,"Y","Urdu","Islam",0.230,0.200,"South Asia Muslim - other","South Asian Peoples","AF_19423_115168"
10,"Brahmin",69.3925,34.2942,"Khaki Jabar","Afghanistan",100000001,100000015,100000181,NULL,NULL,NULL,3700,1,"Y","Urdu","Hinduism",0.000,0.000,"South Asia Forward Caste - Brahmin","South Asian Peoples","AF_16521_111696"
11,"Brahui",64.7369,30.0908,"Reg","Afghanistan",100000001,100000016,100000197,NULL,NULL,NULL,322000,1,"Y","Brahui","Islam",0.101,0.100,"Brahui","South Asian Peoples","AF_10959_101653"
12,"British",69.1909,34.5331,"Kabul City","Afghanistan",100000001,100000015,100000179,NULL,NULL,NULL,1100,4,"N","English","Christianity",72.000,6.000,"Anglo-Celt","Eurasian Peoples","AF_11140_102927"
13,"Changgar",69.6336,34.4708,"Surobi","Afghanistan",100000001,100000015,100000187,NULL,NULL,NULL,3100,1,"Y","Urdu","Islam",0.000,0.000,"South Asia Muslim - other","South Asian Peoples","AF_16585_111780"
14,"Darwazi",70.7261,38.0596,"Khwahan","Afghanistan",100000001,100000002,100000041,NULL,NULL,NULL,16000,1,"Y","Dari","Islam",0.000,0.000,"Tajik","Persian-Median","AF_11510_102467"
15,"Deaf",69.1366,34.5325,"Kabul City","Afghanistan",100000001,100000015,100000179,NULL,NULL,NULL,389000,1,"Y","Afghan Sign Language","Islam",0.050,0,"Deaf","Deaf","AF_19007_114916"
16,"Garwi, Kohistani",71.4485,35.0121,"Dangam","Afghanistan",100000001,100000019,100000223,NULL,NULL,NULL,1900,1,"Y","Gawri","Islam",0.000,0.000,"South Asia Muslim - other","South Asian Peoples","AF_12741_105087"
17,"German",69.1707,34.5502,"Kabul City","Afghanistan",100000001,100000015,100000179,NULL,NULL,NULL,2900,4,"N","German, Standard","Christianity",78.000,5.000,"Germanic","Eurasian Peoples","AF_11871_103305"
18,"Gujar (Muslim traditions)",71.4879,35.2484,"Chitral","Pakistan",100259978,100259983,100260001,100260078,NULL,NULL,18000,1,"Y","Gujari","Islam",0.029,0.029,"South Asia Muslim - other","South Asian Peoples","AF_17549_112971"
19,"Hazara",66.9411,34.3504,"Waras","Afghanistan",100000001,100000006,100000085,NULL,NULL,NULL,3891000,1,"Y","Hazaragi","Islam",0.029,0.029,"Persian","Persian-Median","AF_12076_103743"
20,"Ishkashimi",71.5632,36.7135,"Ishkashim","Afghanistan",100000001,100000002,100000039,NULL,NULL,NULL,3100,1,"Y","Ishkashimi","Islam",0.000,0.000,"Tajik","Persian-Median","AF_20542_116135"
21,"Italian",69.1717,34.5507,"Kabul City","Afghanistan",100000001,100000015,100000179,NULL,NULL,NULL,1900,3,"N","Italian","Christianity",77.000,0.200,"Italian","Eurasian Peoples","AF_12273_104096"
22,"Kalash (Chitrali)",70.2126,36.6532,"Kishim","Afghanistan",100000001,100000002,100000042,NULL,NULL,NULL,10000,1,"Y","Khowar","Islam",0.000,0.000,"South Asia Muslim - other","South Asian Peoples","AF_19437_104950"
23,"Karakalpak",67.1076,36.6689,"Mazar-i-Sharif","Afghanistan",100000001,100000005,100000078,NULL,NULL,NULL,3200,1,"Y","Karakalpak","Islam",0.000,0.000,"Kazakh","Turkic Peoples","AF_12526_104638"
24,"Kazakh",69.123,36.694,"Khan Abad","Afghanistan",100000001,100000020,100000235,NULL,NULL,NULL,3200,1,"Y","Kazakh","Islam",0.000,0.000,"Kazakh","Turkic Peoples","AF_12599_104791"
25,"Khatri (Sikh traditions)",69.1432,34.3215,"Musayi","Afghanistan",100000001,100000015,100000183,NULL,NULL,NULL,2700,1,"Y","Punjabi, Eastern","Other / Small",0.000,0.000,"South Asia Sikh - other","South Asian Peoples","AF_18125_113631"
26,"Khik (Wakhi)",72.8509,36.9654,"Gilgit","Pakistan",100259978,100259984,100260004,100260090,NULL,NULL,21000,1,"Y","Wakhi","Islam",0.000,0.000,"Tajik","Persian-Median","AF_18693_103535"
27,"Kurd, Central",69.1952,34.5155,"Kabul City","Afghanistan",100000001,100000015,100000179,NULL,NULL,NULL,4000,1,"Y","Kurdish, Central","Islam",0.009,0.009,"Kurd","Persian-Median","AF_11126_101922"
28,"Kyrgyz",74.2469,37.0646,"Gilgit","Pakistan",100259978,100259984,100260004,100260090,NULL,NULL,1300,1,"Y","Kyrgyz","Islam",0.000,0.000,"Kyrgyz","Turkic Peoples","AF_12933_105550"
29,"Moghal",62.2759,34.2363,"Guzara","Afghanistan",100000001,100000013,100000154,NULL,NULL,NULL,2300,1,"Y","Dari","Islam",0.000,0.000,"South Asia Muslim - other","South Asian Peoples","AF_13761_106706"
30,"Munji",70.8574,35.7931,"Kuran Wa Munjan","Afghanistan",100000001,100000002,100000043,NULL,NULL,NULL,7000,1,"Y","Munji","Islam",0.000,0.000,"South Asia Muslim - other","South Asian Peoples","AF_13878_106912"
31,"Mussali",69.0953,34.4222,"Chahar Asyab","Afghanistan",100000001,100000015,100000175,NULL,NULL,NULL,3200,1,"Y","Punjabi, Eastern","Islam",0.000,0.000,"South Asia Muslim - other","South Asian Peoples","AF_17714_113164"
32,"Narisati, Arandui",71.5381,35.2205,"Nali","Afghanistan",100000001,100000019,100000227,NULL,NULL,NULL,39000,1,"Y","Gawar-Bati","Islam",0.000,0.000,"South Asia Muslim - other","South Asian Peoples","AF_11835_103257"
33,"Nuristani (Narisati)",70.7524,35.4805,"Wama","Afghanistan",100000001,100000025,100000277,NULL,NULL,NULL,144000,1,"Y","Kati","Islam",0.101,0.000,"Nuristan","Persian-Median","AF_10703_101097"
34,"Nuristani, Ashkuni",70.5923,35.117,"Nuristan","Afghanistan",100000001,100000025,100000276,NULL,NULL,NULL,48000,1,"Y","Ashkun","Islam",0.000,0.000,"Nuristan","Persian-Median","AF_10453_100556"
35,"Nuristani, Grangali",70.7094,34.8761,"Chapa Dara","Afghanistan",100000001,100000019,100000221,NULL,NULL,NULL,11000,1,"Y","Grangali","Islam",0.000,0.000,"Nuristan","Persian-Median","AF_11936_103472"
36,"Nuristani, Kamviri",71.3234,35.4096,"Chitral","Pakistan",100259978,100259983,100260001,100260078,NULL,NULL,22000,1,"Y","Kamviri","Islam",0.000,0.000,"Nuristan","Persian-Median","AF_12482_104545"
37,"Nuristani, Malakhel",69.0192,34.1317,"Puli Alam","Afghanistan",100000001,100000022,100000247,NULL,NULL,NULL,3200,1,"Y","Dari","Islam",0.000,0.000,"Nuristan","Persian-Median","AF_13431_106126"
38,"Nuristani, Prasuni",70.9281,35.4495,"Wama","Afghanistan",100000001,100000025,100000277,NULL,NULL,NULL,9700,1,"Y","Prasuni","Islam",0.000,0.000,"Nuristan","Persian-Median","AF_14461_108147"
39,"Nuristani, Tregami",71.1198,35.0073,"Asad abad","Afghanistan",100000001,100000019,100000219,NULL,NULL,NULL,4200,1,"Y","Tregami","Islam",0.000,0.000,"Nuristan","Persian-Median","AF_15575_110188"
40,"Nuristani, Waigeli",71.0595,35.1778,"Waygal","Afghanistan",100000001,100000025,100000278,NULL,NULL,NULL,32000,1,"Y","Waigali","Islam",0.000,0.000,"Nuristan","Persian-Median","AF_15822_110623"
41,"Ormuri",68.9185,32.7748,"Sarobi","Afghanistan",100000001,100000026,100000287,NULL,NULL,NULL,3200,1,"Y","Pashto, Southern","Islam",0.000,0.000,"South Asia Muslim - Pashtun","South Asian Peoples","AF_15735_110432"
42,"Pahlavani",62.1988,31.3333,"Chakhansur","Afghanistan",100000001,100000024,100000268,NULL,NULL,NULL,3700,1,"Y","Dari","Islam",0.000,0.000,"Persian","Persian-Median","AF_14255_107747"
43,"Parachi",69.6431,35.0794,"Nijrab","Afghanistan",100000001,100000017,100000205,NULL,NULL,NULL,8100,1,"Y","Parachi","Islam",0.000,0.000,"Persian","Persian-Median","AF_14311_107875"
44,"Parsee",61.5836,34.245,"Zinda Jan","Afghanistan",100000001,100000013,100000164,NULL,NULL,NULL,2300,1,"Y","Dari","Other / Small",0.000,0.000,"South Asia - other","South Asian Peoples","AF_14322_107901"
45,"Parya",69.8967,34.4793,"Surobi","Afghanistan",100000001,100000015,100000187,NULL,NULL,NULL,400,1,"Y","Parya","Islam",0.000,0.000,"Tajik","Persian-Median","AF_14324_107906"
46,"Pashayi",69.4532,34.2043,"Khaki Jabar","Afghanistan",100000001,100000015,100000181,NULL,NULL,NULL,47000,1,"Y","Kohistani, Indus","Islam",0.000,0.000,"South Asia Muslim - other","South Asian Peoples","AF_18369_113939"
47,"Pashayi, Northeast",70.4317,34.66,"Kuz Kunar","Afghanistan",100000001,100000023,100000259,NULL,NULL,NULL,92000,1,"Y","Pashai, Northeast","Islam",0.000,0.000,"South Asia Muslim - other","South Asian Peoples","AF_13996_107420"
48,"Pashayi, Northwest",70.042,34.9611,"Dawlat Shah","Afghanistan",100000001,100000021,100000240,NULL,NULL,NULL,96000,1,"Y","Pashai, Northwest","Islam",0.000,0.000,"South Asia Muslim - other","South Asian Peoples","AF_14042_107474"
49,"Pashayi, Southeast",70.3035,34.431,"Surkh Rod","Afghanistan",100000001,100000023,100000267,NULL,NULL,NULL,547000,1,"Y","Pashai, Southeast","Islam",0.000,0.000,"South Asia Muslim - other","South Asian Peoples","AF_15025_109456"
50,"Pashayi, Southwest",69.7758,34.881,"Alasay","Afghanistan",100000001,100000017,100000201,NULL,NULL,NULL,121000,1,"Y","Pashai, Southwest","Islam",0.009,0.000,"South Asia Muslim - other","South Asian Peoples","AF_15072_109523"
51,"Pashtun, Northern",68.363,33.562,"Ghazni","Afghanistan",100000001,100000010,100000119,NULL,NULL,NULL,2749000,1,"Y","Pashto, Northern","Islam",0.010,0.010,"South Asia Muslim - Pashtun","South Asian Peoples","AF_14256_107909"
52,"Pashtun, Southern",68.363,33.562,"Ghazni","Afghanistan",100000001,100000010,100000119,NULL,NULL,NULL,9656000,1,"Y","Pashto, Southern","Islam",0.019,0.019,"South Asia Muslim - Pashtun","South Asian Peoples","AF_14327_109502"
53,"Persian",62.4461,34.2582,"Hirat City","Afghanistan",100000001,100000013,100000155,NULL,NULL,NULL,663000,1,"Y","Persian, Iranian","Islam",0.119,0.100,"Persian","Persian-Median","AF_14371_107987"
54,"Punjabi",71.0732,34.1478,"Khyber","Pakistan",100259978,100259981,100259994,100260056,NULL,NULL,6000,1,"Y","Punjabi, Eastern","Islam",1.000,0.300,"South Asia Muslim - other","South Asian Peoples","AF_14483_108182"
55,"Punjabi, Western",70.3012,34.7575,"Alingar","Afghanistan",100000001,100000021,100000238,NULL,NULL,NULL,37000,1,"Y","Punjabi, Western","Islam",0.200,0.100,"South Asia Muslim - other","South Asian Peoples","AF_15382_110802"
56,"Qizilbash",62.094,32.3648,"Farah City","Afghanistan",100000001,100000008,100000094,NULL,NULL,NULL,299000,1,"Y","Dari","Islam",0.000,0.000,"Turkish","Turkic Peoples","AF_14498_108231"
57,"Romani, Balkan",62.1513,34.3505,"Hirat City","Afghanistan",100000001,100000013,100000155,NULL,NULL,NULL,17000,1,"Y","Romani, Balkan","Islam",0.000,0.000,"Romani","Eurasian Peoples","AF_14570_108397"
58,"Romani, Domari",69.1296,34.4746,"Kabul City","Afghanistan",100000001,100000015,100000179,NULL,NULL,NULL,11000,1,"Y","Domari","Islam",0.015,0.000,"Domari","Persian-Median","AF_11597_102682"
59,"Russian",69.233,34.7087,"Dih Sabz","Afghanistan",100000001,100000015,100000176,NULL,NULL,NULL,900,2,"N","Russian","Non-Religious",31.000,0.300,"Slav, Eastern","Eurasian Peoples","AF_14598_108452"
60,"Sanglechi",71.5737,36.6741,"Ishkashim","Afghanistan",100000001,100000002,100000039,NULL,NULL,NULL,2800,1,"Y","Sanglechi","Islam",0.000,0.000,"Tajik","Persian-Median","AF_14727_108647"
61,"Sau",71.4591,35.1696,"Bar Kunar","Afghanistan",100000001,100000019,100000220,NULL,NULL,NULL,4800,1,"Y","Savi","Islam",0.000,0.000,"South Asia Muslim - other","South Asian Peoples","AF_14782_108746"
62,"Shughni",71.3738,37.5916,"Shighnan","Afghanistan",100000001,100000002,100000046,NULL,NULL,NULL,45000,1,"Y","Shughni","Islam",0.000,0.000,"Tajik","Persian-Median","AF_14921_108967"
63,"Shumashti",70.7508,34.749,"Nurgal","Afghanistan",100000001,100000019,100000229,NULL,NULL,NULL,1600,1,"Y","Shumashti","Islam",0.000,0.000,"South Asia Muslim - other","South Asian Peoples","AF_14924_108970"
64,"Sindhi",69.1089,34.5174,"Kabul City","Afghanistan",100000001,100000015,100000179,NULL,NULL,NULL,24000,1,"Y","Sindhi","Islam",0.079,0.079,"South Asia - other","South Asian Peoples","AF_14192_109027"
65,"Tangshuri",71.2123,38.1116,"n.a. ( 243)","Tajikistan",100350531,100350533,100350542,100350624,NULL,NULL,16000,1,"Y","Dari","Islam",0.000,0.000,"Tajik","Persian-Median","AF_15253_109822"
66,"Tirahi",66.4697,31.8173,"Tarnak Wa Jaldak","Afghanistan",100000001,100000035,100000363,NULL,NULL,NULL,5700,1,"Y","Pashto, Southern","Islam",0.000,0.000,"South Asia Muslim - other","South Asian Peoples","AF_15500_110076"
67,"Turk",68.8877,34.5587,"Paghman","Afghanistan",100000001,100000015,100000184,NULL,NULL,NULL,11000,1,"Y","Turkish","Islam",0.000,0.000,"Turkish","Turkic Peoples","AF_18274_113818"
68,"Turkmen",64.7567,36.5949,"Dawlat abad","Afghanistan",100000001,100000009,100000105,NULL,NULL,NULL,2171000,1,"Y","Turkmen","Islam",0.000,0.000,"Turkmen","Turkic Peoples","AF_15654_110306"
69,"Uyghur",62.7225,34.8938,"Kushki Kuhna","Afghanistan",100000001,100000013,100000160,NULL,NULL,NULL,4800,1,"Y","Uyghur","Islam",0.050,0.050,"Uyghur","Turkic Peoples","AF_15755_110469"
70,"Uzbek, Southern",66.7094,36.3316,"Sholgara","Afghanistan",100000001,100000005,100000080,NULL,NULL,NULL,4358000,1,"Y","Uzbek, Southern","Islam",0.009,0.009,"Uzbek","Turkic Peoples","AF_15756_110472"
71,"Warduji",70.8626,36.9877,"Baharak","Afghanistan",100000001,100000002,100000036,NULL,NULL,NULL,8100,1,"Y","Warduji","Islam",0.000,0.000,"Persian","Persian-Median","AF_15866_110689"
72,"Wotapuri-Katarqalai",70.9812,35.1214,"Waygal","Afghanistan",100000001,100000025,100000278,NULL,NULL,NULL,3500,1,"Y","Pashto, Northern","Islam",0.000,0.000,"South Asia Muslim - other","South Asian Peoples","AF_15418_110865"
73,"Albanian",20.0819,41.1098,"Elbasan","Albania",100001091,100001095,100001112,100001221,NULL,NULL,2725000,2,"N","Albanian, Gheg","Islam",33.000,0.584,"Albanian","Eurasian Peoples","AL_11880_103338"
74,"Americans, U.S.",19.8104,41.3335,"Tiranë","Albania",100001091,100001102,100001137,100001487,NULL,NULL,2000,5,"N","English","Christianity",78.000,33.000,"Anglo-American","North American Peoples","AL_15741_110448"
75,"Anglo-Canadian",19.8346,41.3359,"Tiranë","Albania",100001091,100001102,100001137,100001487,NULL,NULL,800,5,"N","English","Christianity",78.000,10.500,"Anglo-Celt","Eurasian Peoples","AL_10328_100356"
76,"Aromanian",20.633,40.2323,"Barmash","Albania",100001091,100001098,100001123,100001346,NULL,NULL,7200,3,"N","Aromanian","Christianity",95.000,0.800,"Romanian","Eurasian Peoples","AL_10431_100520"
77,"Deaf",19.7979,41.3232,"Tiranë","Albania",100001091,100001102,100001137,100001487,NULL,NULL,14000,2,"N","Albanian Sign Language","Islam",30.470,0,"Deaf","Deaf","AL_19007_114916"
78,"Egyptian, Balkan",19.8187,41.3456,"Tiranë","Albania",100001091,100001102,100001137,100001487,NULL,NULL,2900,1,"Y","Albanian, Tosk","Islam",4.000,0.000,"Albanian","Eurasian Peoples","AL_20676_117066"
79,"European, general",19.8925,41.4219,"Zall Bastar","Albania",100001091,100001102,100001137,100001490,NULL,NULL,6200,3,"N","English","Christianity",65.000,0.500,"Anglo-Celt","Eurasian Peoples","AL_19215_115094"
80,"Gorani",19.6982,40.6609,"Ruzhdie","Albania",100001091,100001096,100001116,100001280,NULL,NULL,35000,1,"Y","Serbian","Islam",5.000,0.000,"Slav, Southern","Eurasian Peoples","AL_18765_114431"
81,"Greek",20.1866,40.0777,"Gjirokastrës","Albania",100001091,100001097,100001119,NULL,NULL,NULL,27000,3,"N","Greek","Christianity",90.000,0.200,"Greek","Eurasian Peoples","AL_11942_103480"
82,"Italian",19.8014,41.3241,"Tiranë","Albania",100001091,100001102,100001137,100001487,NULL,NULL,7600,3,"N","Italian","Christianity",87.000,1.100,"Italian","Eurasian Peoples","AL_12273_104096"
83,"Macedonian",20.1458,41.6856,"Macukull","Albania",100001091,100001093,100001109,100001196,NULL,NULL,5400,3,"N","Macedonian","Christianity",90.000,1.000,"Slav, Southern","Eurasian Peoples","AL_13186_105968"
84,"Montenegrin",19.9206,40.5252,"Selitë","Albania",100001091,100001096,100001118,100001308,NULL,NULL,1300,3,"N","Serbian","Christianity",70.000,0.140,"Slav, Southern","Eurasian Peoples","AL_13798_106775"
85,"Romani, Vlax",19.9114,40.8007,"Kuçovë","Albania",100001091,100001092,100001105,100001154,NULL,NULL,7200,4,"N","Romani, Vlax","Islam",25.000,6.000,"Romani","Eurasian Peoples","AL_14567_108394"
86,"Serb",19.9217,40.5311,"Selitë","Albania",100001091,100001096,100001118,100001308,NULL,NULL,1300,3,"N","Serbian","Christianity",69.000,0.050,"Slav, Southern","Eurasian Peoples","AL_14864_108856"
87,"Turk",19.7965,41.3386,"Tiranë","Albania",100001091,100001102,100001137,100001487,NULL,NULL,1700,1,"Y","Turkish","Islam",0.010,0.003,"Turkish","Turkic Peoples","AL_18274_113818"
88,"Algerian, Arabic-speaking",5.38944,35.9974,"Bir Haddada","Algeria",100385185,100385222,100386335,NULL,NULL,NULL,29618000,1,"Y","Arabic, Algerian Spoken","Islam",0.009,0.008,"Arab, Maghreb","Arab World","AG_10379_100226"
89,"Arab, Egyptian",3.0981,36.7094,"Djasr Kasentina","Algeria",100385185,100385189,100385333,NULL,NULL,NULL,18000,2,"N","Arabic, Egyptian Spoken","Islam",11.000,2.000,"Egyptian","Arab World","AG_11722_102879"
90,"Arab, Iraqi",1.28377,28.4895,"Aougrout","Algeria",100385185,100385186,100385236,NULL,NULL,NULL,4700,1,"Y","Arabic, Mesopotamian Spoken","Islam",0.699,0.699,"Arab, Levant","Arab World","AG_12247_104056"
91,"Bedouin, Chaamba",4.37933,33.0877,"Guettara","Algeria",100385185,100385201,100385730,NULL,NULL,NULL,137000,1,"Y","Arabic, Algerian Spoken","Islam",0.000,0.000,"Bedouin, Saharan","Arab World","AG_11284_101950"
92,"Bedouin, Dui-Menia",-2.45841,30.8656,"Abadla","Algeria",100385185,100385192,100385425,NULL,NULL,NULL,82000,1,"Y","Arabic, Algerian Spoken","Islam",0.009,0.000,"Bedouin, Saharan","Arab World","AG_11633_102751"
93,"Bedouin, Laguat",3.10384,33.9574,"El Assafia","Algeria",100385185,100385210,100385928,NULL,NULL,NULL,82000,1,"Y","Arabic, Algerian Spoken","Islam",0.000,0.000,"Bedouin, Saharan","Arab World","AG_12944_105567"
94,"Bedouin, Nail",4.58885,34.145,"Ras Miaad|Ouled Sassi","Algeria",100385185,100385194,100385522,NULL,NULL,NULL,38000,1,"Y","Arabic, Algerian Spoken","Islam",0.000,0.000,"Bedouin, Saharan","Arab World","AG_13922_107028"
95,"Bedouin, Ruarha",6.01443,33.5255,"Sidi Amrane","Algeria",100385185,100385203,100385790,NULL,NULL,NULL,82000,1,"Y","Arabic, Algerian Spoken","Islam",0.000,0.000,"Arab, Maghreb","Arab World","AG_14584_108427"
97,"Bedouin, Suafa",6.84987,33.9574,"Magrane","Algeria",100385185,100385203,100385782,NULL,NULL,NULL,130000,1,"Y","Arabic, Algerian Spoken","Islam",0.009,0.000,"Bedouin, Saharan","Arab World","AG_15095_109560"
98,"Bedouin, Tajakant",3.23033,35.4208,"Had Sahary","Algeria",100385185,100385201,100385731,NULL,NULL,NULL,1770000,1,"Y","Arabic, Algerian Spoken","Islam",0.000,0.000,"Bedouin, Saharan","Arab World","AG_15199_109730"
99,"Bedouin, Ziban",-5.94467,28.4195,"Oum El Assel","Algeria",100385185,100385229,100386568,NULL,NULL,NULL,274000,1,"Y","Arabic, Algerian Spoken","Islam",0.000,0.000,"Bedouin, Saharan","Arab World","AG_16103_111176"
100,"Belbali",-2.56296,29.5137,"Beni Abbes","Algeria",100385185,100385192,100385427,NULL,NULL,NULL,3900,1,"Y","Korandje","Islam",0.000,0.000,"Songhai","Sub-Saharan Peoples","AG_10774_101223"
101,"Berber, Figig",-0.961099,31.9632,"Beni Ounif","Algeria",100385185,100385192,100385429,NULL,NULL,NULL,82000,1,"Y","Tamazight, Central Atlas","Islam",0.019,0.000,"Berber-Saharan","Arab World","AG_11199_103014"
102,"Berber, Imazighen",-0.28593,33.5637,"Mecheria","Algeria",100385185,100385216,100386177,NULL,NULL,NULL,1646000,1,"Y","Tamazight, Central Atlas","Islam",0.700,0.625,"Berber-Shilha","Arab World","AG_12217_104002"
103,"Berber, Kabyle",4.55784,36.39,"Ait R‘Zine","Algeria",100385185,100385193,100385448,NULL,NULL,NULL,6029000,1,"Y","Amazigh","Islam",0.250,0.240,"Berber-Kabyle","Arab World","AG_12399_104365"
